node_u,node_v
203502,224148
207175,219315
278415,230530
185702,51751
119335,252287
97935,262633
32854,195303
66428,253219
243965,154205
156192,40187
147007,4638
3085,275755
251465,215067
259020,171207
170934,110781
55758,227703
117574,140986
153197,220160
200640,18300
241915,232121
28547,20095
222408,253545
208535,142064
242008,138620
113660,288178
191577,130319
266145,270360
239853,163569
206221,145844
155845,293945
172433,16172
204612,288946
127643,95866
288548,224020
4398,177140
211868,45139
278161,255641
11550,127424
258230,184084
112095,264117
306175,205862
122105,107912
229689,282029
87129,258858
283920,86627
306273,263211
191111,112363
218915,33322
120553,251177
129591,143207
213606,284458
249209,231072
78184,81213
261895,131371
238090,176715
270035,234626
50590,180374
224552,204886
264969,300201
177511,67526
47999,188246
104524,76268
61616,147347
196338,96918
91288,169336
278443,70321
121407,268984
45228,261260
194577,159204
28042,299229
129612,150555
186732,293891
32990,163913
306013,214145
84787,62034
297565,75399
263751,100732
112046,285787
307794,236560
272445,129214
38363,186700
242973,197647
140409,203314
173976,192318
174001,113378
190715,192062
182153,16699
147432,232886
193944,271304
222016,181166
164069,193241
295816,63054
49371,62459
265656,40596
55915,14175
59653,51254
137132,241530
102659,85208
271358,166326
75094,258440
284931,312462
1482,227726
226377,258511
280118,257054
296521,258623
2835,19605
250066,9561
302506,81019
182294,297446
178643,150173
105945,153505
172934,137351
161206,30456
184002,95941
132422,300400
126189,227461
109826,32668
117335,33544
187701,17450
172900,176305
38775,255837
243795,222592
88382,254342
220278,102445
101846,292984
249031,223321
207065,32417
68557,220806
141172,135080
167963,67884
217023,47373
46797,85298
33942,126591
278653,75263
47298,299955
244276,48454
231101,250259
204529,293128
209351,238408
256316,297512
251234,168474
206372,307734
257500,293921
264809,212230
133323,293981
36938,127610
141116,157444
70180,266055
49640,240238
233347,227237
233610,90659
252537,187747
78840,197414
85301,9272
1474,129859
52589,216137
231400,124849
18015,193082
159285,296794
140453,158992
61689,36809
311870,232138
76197,152715
290595,35843
168573,296188
31010,231882
195128,296940
92430,119169
20191,171118
216218,309102
308220,206420
228316,55968
20998,166204
18150,196444
117622,221021
3069,272956
199310,65118
290152,164771
21969,46424
254669,2230
265562,273745
213422,252318
129024,288163
294145,109795
308222,210487
307349,263978
170146,247105
69515,257762
73332,211715
168235,168789
312360,28701
5554,118023
169784,297910
27726,188592
192225,166024
236130,211342
21373,164645
270418,74634
